time,seconds_elapsed,z,y,x
1682059870304056800,0.013056884765625,-0.263519287109375,-0.5216522216796875,0.1771087646484375
1682059870314005200,0.023005126953125,-0.2480010986328125,-0.5103607177734375,0.221038818359375
1682059870323950000,0.0329501953125,-0.243408203125,-0.4924163818359375,0.318145751953125
1682059870333896000,0.04289599609375,-0.21148681640625,-0.497802734375,0.39794921875
1682059870343841000,0.052841064453125,-0.20697021484375,-0.52215576171875,0.4052276611328125
1682059870353786000,0.0627861328125,-0.1755828857421875,-0.5507659912109375,0.3616180419921875
1682059870363731200,0.072731201171875,-0.10260009765625,-0.55792236328125,0.3206634521484375
1682059870373676000,0.082676025390625,-0.0678558349609375,-0.553192138671875,0.268951416015625
1682059870383620900,0.092620849609375,-0.0424957275390625,-0.5563507080078125,0.2709808349609375
1682059870393566200,0.102566162109375,-0.009368896484375,-0.5835113525390625,0.3090972900390625
1682059870403511000,0.112510986328125,0.017364501953125,-0.5924530029296875,0.3140869140625
1682059870413457200,0.12245703125,0.02294921875,-0.615814208984375,0.3121185302734375
1682059870423402000,0.132402099609375,0.096466064453125,-0.6944122314453125,0.3173370361328125
1682059870433347000,0.14234716796875,0.130767822265625,-0.7855377197265625,0.3022613525390625
1682059870443292200,0.152292236328125,0.1292572021484375,-0.8026885986328125,0.2880859375
1682059870453237000,0.162237060546875,0.1335906982421875,-0.760162353515625,0.2677764892578125
1682059870463182000,0.17218212890625,0.090789794921875,-0.702880859375,0.2270355224609375
1682059870473127200,0.182127197265625,0.081268310546875,-0.663421630859375,0.2686004638671875
1682059870483072000,0.192072021484375,0.2114410400390625,-0.7339019775390625,0.30938720703125
1682059870493018000,0.20201806640625,0.1822052001953125,-0.793365478515625,0.253662109375
1682059870502963000,0.211962890625,0.135162353515625,-0.7795257568359375,0.251617431640625
1682059870512908000,0.221907958984375,0.170440673828125,-0.7657623291015625,0.2775726318359375
1682059870522853000,0.23185302734375,0.1657867431640625,-0.78387451171875,0.28167724609375
1682059870532798000,0.2417978515625,0.12799072265625,-0.8081817626953125,0.269561767578125
1682059870542743000,0.251742919921875,0.1228179931640625,-0.820892333984375,0.264923095703125
1682059870552688000,0.261688232421875,0.1306915283203125,-0.8287506103515625,0.252044677734375
1682059870562634000,0.271634033203125,0.117767333984375,-0.8330535888671875,0.2352447509765625
1682059870572579000,0.2815791015625,0.09423828125,-0.84405517578125,0.2261810302734375
1682059870582524200,0.291524169921875,0.0797119140625,-0.860870361328125,0.221649169921875
1682059870592469000,0.301468994140625,0.065093994140625,-0.8758697509765625,0.2124481201171875
1682059870602414000,0.3114140625,0.0545196533203125,-0.8756561279296875,0.197052001953125
1682059870612359200,0.321359130859375,0.0470123291015625,-0.8660430908203125,0.1824493408203125
1682059870622304000,0.331303955078125,0.036712646484375,-0.8651580810546875,0.1811370849609375
1682059870632249000,0.3412490234375,0.025299072265625,-0.8838043212890625,0.1800384521484375
1682059870642195000,0.35119482421875,0.01495361328125,-0.9139251708984375,0.1657867431640625
1682059870652140000,0.36114013671875,0.0061798095703125,-0.9344329833984375,0.1522216796875
1682059870662085000,0.371085205078125,0.0063934326171875,-0.9430084228515625,0.1475372314453125
1682059870672030000,0.381030029296875,0.00299072265625,-0.94384765625,0.141571044921875
1682059870681975000,0.39097509765625,-0.0055389404296875,-0.941162109375,0.1367034912109375
1682059870691920100,0.400920166015625,-0.008514404296875,-0.9438934326171875,0.1292572021484375
1682059870701865000,0.410864990234375,-0.014068603515625,-0.9541473388671875,0.131683349609375
1682059870711811000,0.42081103515625,-0.0029754638671875,-0.969879150390625,0.13616943359375
1682059870721756000,0.430755859375,-0.0070343017578125,-0.9774932861328125,0.134246826171875
1682059870731701200,0.440701171875,-0.0182647705078125,-0.972137451171875,0.1340179443359375
1682059870741646000,0.45064599609375,-0.0128173828125,-0.9671478271484375,0.1320648193359375
1682059870751591000,0.4605908203125,-0.009063720703125,-0.9669189453125,0.137176513671875
1682059870761536000,0.470535888671875,-0.0102691650390625,-0.9785919189453125,0.1442108154296875
1682059870771481000,0.480481201171875,-0.0117034912109375,-0.9906463623046875,0.14373779296875
1682059870781426000,0.490426025390625,-0.019256591796875,-0.9982147216796875,0.150726318359375
1682059870791372000,0.5003720703125,-0.0173187255859375,-1.0056610107421875,0.1599273681640625
1682059870801316900,0.51031689453125,-0.01458740234375,-1.0081787109375,0.1617889404296875
1682059870811262200,0.52026220703125,-0.0213775634765625,-1.0047149658203125,0.1655120849609375
1682059870821207000,0.53020703125,-0.0282135009765625,-1.0063323974609375,0.1681365966796875
1682059870831151900,0.54015185546875,-0.0319366455078125,-1.00732421875,0.1604461669921875
1682059870841097200,0.55009716796875,-0.0344696044921875,-1.0024261474609375,0.149749755859375
1682059870851042000,0.5600419921875,-0.0088043212890625,-0.9973602294921875,0.1587066650390625
1682059870860987000,0.56998681640625,-0.0391845703125,-1.0099639892578125,0.1698760986328125
1682059870870933000,0.57993310546875,-0.0805511474609375,-1.0284881591796875,0.1418914794921875
1682059870880878000,0.589878173828125,-0.0592041015625,-1.02337646484375,0.1334228515625
1682059870890823200,0.5998232421875,-0.0680389404296875,-1.00537109375,0.137603759765625
1682059870900768000,0.60976806640625,-0.103668212890625,-1.0114288330078125,0.1290435791015625
1682059870910712800,0.619712890625,-0.14251708984375,-1.023162841796875,0.1280670166015625
1682059870920658200,0.629658203125,-0.1519775390625,-1.026123046875,0.1264801025390625
1682059870930603000,0.63960302734375,-0.1538238525390625,-1.0192718505859375,0.1269989013671875
