time,seconds_elapsed,z,y,x
1682059226448559900,0.018559814453125,-0.1580352783203125,-0.9351806640625,0.367584228515625
1682059226458506000,0.028506103515625,-0.1658477783203125,-0.93218994140625,0.354583740234375
1682059226468451000,0.038451171875,-0.1754302978515625,-0.92706298828125,0.3364105224609375
1682059226478396000,0.04839599609375,-0.1928558349609375,-0.891082763671875,0.32080078125
1682059226488341000,0.058341064453125,-0.1996002197265625,-0.89630126953125,0.3476715087890625
1682059226498286800,0.068286865234375,-0.18536376953125,-0.9698944091796875,0.3617401123046875
1682059226508232200,0.078232177734375,-0.2186279296875,-0.9922027587890625,0.3471221923828125
1682059226518177000,0.088177001953125,-0.2495880126953125,-0.9722747802734375,0.31878662109375
1682059226528121900,0.098121826171875,-0.243988037109375,-0.955413818359375,0.292205810546875
1682059226538068000,0.10806787109375,-0.235626220703125,-0.9457855224609375,0.2828369140625
1682059226548013000,0.118012939453125,-0.2298126220703125,-0.946258544921875,0.28399658203125
1682059226557958000,0.1279580078125,-0.22943115234375,-0.9521026611328125,0.2911834716796875
1682059226567904000,0.137904052734375,-0.244873046875,-0.949798583984375,0.3063201904296875
1682059226577848800,0.147848876953125,-0.2520294189453125,-0.945953369140625,0.319793701171875
1682059226587794200,0.157794189453125,-0.2651519775390625,-0.9431915283203125,0.33428955078125
1682059226597739000,0.167739013671875,-0.276214599609375,-0.94580078125,0.3340606689453125
1682059226607685000,0.17768505859375,-0.27008056640625,-0.938751220703125,0.324951171875
1682059226617630000,0.1876298828125,-0.2650299072265625,-0.9282379150390625,0.3181304931640625
1682059226627575000,0.197574951171875,-0.2483367919921875,-0.92626953125,0.3151397705078125
1682059226637520100,0.20752001953125,-0.2427978515625,-0.9295501708984375,0.31707763671875
1682059226647466000,0.217466064453125,-0.25091552734375,-0.9403533935546875,0.3114471435546875
1682059226657411000,0.2274111328125,-0.25152587890625,-0.9475555419921875,0.31011962890625
1682059226667357200,0.237357177734375,-0.258087158203125,-0.943328857421875,0.3145904541015625
1682059226677303300,0.24730322265625,-0.250457763671875,-0.938232421875,0.310455322265625
1682059226687248100,0.257248046875,-0.2448883056640625,-0.9345855712890625,0.30194091796875
1682059226697193200,0.267193115234375,-0.2440185546875,-0.9364471435546875,0.2861480712890625
1682059226707138300,0.27713818359375,-0.25164794921875,-0.9454345703125,0.28399658203125
1682059226717084200,0.287084228515625,-0.2495574951171875,-0.9647216796875,0.2746124267578125
1682059226727029200,0.297029296875,-0.234405517578125,-0.974365234375,0.2661590576171875
1682059226736974300,0.306974365234375,-0.228607177734375,-0.9764862060546875,0.2544708251953125
1682059226746920200,0.316920166015625,-0.2376708984375,-0.9775238037109375,0.244110107421875
1682059226756865300,0.326865234375,-0.2458953857421875,-0.979034423828125,0.2320098876953125
1682059226766810000,0.33681005859375,-0.250152587890625,-0.9785003662109375,0.2133331298828125
1682059226776755200,0.346755126953125,-0.2576751708984375,-0.9772796630859375,0.194122314453125
1682059226786701300,0.356701416015625,-0.2611541748046875,-0.979888916015625,0.1833038330078125
1682059226796646100,0.366646240234375,-0.2678985595703125,-0.9869842529296875,0.1787872314453125
1682059226806591200,0.37659130859375,-0.2689971923828125,-0.9975738525390625,0.16888427734375
1682059226816537000,0.386537109375,-0.270660400390625,-1.0018310546875,0.15277099609375
1682059226826482200,0.396482177734375,-0.26708984375,-1.0038909912109375,0.132568359375
1682059226836427300,0.40642724609375,-0.255828857421875,-0.999114990234375,0.113800048828125
1682059226846372000,0.4163720703125,-0.24993896484375,-0.9960174560546875,0.09661865234375
1682059226856318200,0.426318115234375,-0.2449493408203125,-1.0043792724609375,0.0867767333984375
1682059226866263000,0.436262939453125,-0.227996826171875,-1.0152740478515625,0.0791168212890625
1682059226876208400,0.44620849609375,-0.2188873291015625,-1.0180511474609375,0.072906494140625
1682059226886153200,0.4561533203125,-0.211944580078125,-1.0174560546875,0.0614471435546875
1682059226896099000,0.46609912109375,-0.198974609375,-1.017822265625,0.0472564697265625
1682059226906044200,0.476044189453125,-0.1833953857421875,-1.0111846923828125,0.032989501953125
1682059226915989200,0.4859892578125,-0.1717987060546875,-1.003662109375,0.0213775634765625
1682059226925935400,0.495935302734375,-0.1652984619140625,-1.0110931396484375,0.0092620849609375
1682059226935880200,0.505880126953125,-0.157958984375,-1.0215301513671875,0.0011749267578125
1682059226945825000,0.515824951171875,-0.15643310546875,-1.0293426513671875,-0.0010986328125
1682059226955770400,0.525770263671875,-0.15240478515625,-1.0361480712890625,0.000213623046875
1682059226965716200,0.53571630859375,-0.141265869140625,-1.0382080078125,-0.001068115234375
1682059226975661300,0.545661376953125,-0.13934326171875,-1.0280609130859375,-0.0046234130859375
1682059226985606100,0.555606201171875,-0.123687744140625,-1.0160675048828125,-0.011688232421875
1682059226995552300,0.56555224609375,-0.0771942138671875,-1.004150390625,-0.006591796875
1682059227005497300,0.575497314453125,-0.072723388671875,-1.00787353515625,0.0185089111328125
1682059227015442200,0.585442138671875,-0.1419219970703125,-1.0219573974609375,0.0020599365234375
1682059227025387300,0.59538720703125,-0.1094970703125,-1.0189056396484375,-0.0348663330078125
1682059227035333000,0.6053330078125,-0.091400146484375,-0.9974822998046875,-0.054962158203125
1682059227045278200,0.6152783203125,-0.1158599853515625,-0.993865966796875,-0.0708160400390625
1682059227055223300,0.625223388671875,-0.1179046630859375,-1.0050048828125,-0.0768890380859375
1682059227065168100,0.635168212890625,-0.101593017578125,-1.0072174072265625,-0.077484130859375
1682059227075114200,0.6451142578125,-0.0743408203125,-0.9986419677734375,-0.078277587890625
